,raceId,team_points,team_name,nationality,year,circuit_name,name,location,country,lat,lng,wins
39,21,1.0,Toyota,Japanese,2008,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,0.0
40,21,0.0,Force India,Indian,2008,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,0.0
41,21,0.0,Super Aguri,Japanese,2008,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,0.0
42,21,0.0,Renault,French,2008,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,0.0
43,21,0.0,Toro Rosso,Italian,2008,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,0.0
44,22,16.0,Ferrari,Italian,2008,Turkish Grand Prix,Istanbul Park,Istanbul,Turkey,40.9517,29.405,4.0
45,22,8.0,McLaren,British,2008,Turkish Grand Prix,Istanbul Park,Istanbul,Turkey,40.9517,29.405,1.0
46,22,9.0,BMW Sauber,German,2008,Turkish Grand Prix,Istanbul Park,Istanbul,Turkey,40.9517,29.405,0.0
47,22,3.0,Renault,French,2008,Turkish Grand Prix,Istanbul Park,Istanbul,Turkey,40.9517,29.405,0.0
48,22,2.0,Red Bull,Austrian,2008,Turkish Grand Prix,Istanbul Park,Istanbul,Turkey,40.9517,29.405,0.0
49,22,1.0,Williams,British,2008,Turkish Grand Prix,Istanbul Park,Istanbul,Turkey,40.9517,29.405,0.0
50,22,0.0,Toyota,Japanese,2008,Turkish Grand Prix,Istanbul Park,Istanbul,Turkey,40.9517,29.405,0.0
51,22,0.0,Honda,Japanese,2008,Turkish Grand Prix,Istanbul Park,Istanbul,Turkey,40.9517,29.405,0.0
52,22,0.0,Force India,Indian,2008,Turkish Grand Prix,Istanbul Park,Istanbul,Turkey,40.9517,29.405,0.0
53,22,0.0,Toro Rosso,Italian,2008,Turkish Grand Prix,Istanbul Park,Istanbul,Turkey,40.9517,29.405,0.0
54,23,11.0,McLaren,British,2008,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,2.0
55,23,8.0,BMW Sauber,German,2008,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,0.0
56,23,6.0,Ferrari,Italian,2008,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,4.0
57,23,5.0,Red Bull,Austrian,2008,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,0.0
58,23,4.0,Toro Rosso,Italian,2008,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,0.0
59,23,3.0,Honda,Japanese,2008,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,0.0
60,23,2.0,Williams,British,2008,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,0.0
61,23,0.0,Renault,French,2008,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,0.0
62,23,0.0,Toyota,Japanese,2008,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,0.0
63,23,0.0,Force India,Indian,2008,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,0.0
64,24,18.0,BMW Sauber,German,2008,Canadian Grand Prix,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,1.0
65,24,6.0,Red Bull,Austrian,2008,Canadian Grand Prix,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,0.0
66,24,8.0,Toyota,Japanese,2008,Canadian Grand Prix,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,0.0
67,24,4.0,Ferrari,Italian,2008,Canadian Grand Prix,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,4.0
68,24,2.0,Honda,Japanese,2008,Canadian Grand Prix,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,0.0
69,24,1.0,Toro Rosso,Italian,2008,Canadian Grand Prix,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,0.0
70,24,0.0,McLaren,British,2008,Canadian Grand Prix,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,2.0
71,24,0.0,Williams,British,2008,Canadian Grand Prix,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,0.0
72,24,0.0,Force India,Indian,2008,Canadian Grand Prix,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,0.0
73,24,0.0,Renault,French,2008,Canadian Grand Prix,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,0.0
74,25,18.0,Ferrari,Italian,2008,French Grand Prix,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,5.0
75,25,6.0,Toyota,Japanese,2008,French Grand Prix,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,0.0
76,25,5.0,McLaren,British,2008,French Grand Prix,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,2.0
77,25,4.0,BMW Sauber,German,2008,French Grand Prix,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,1.0
78,25,3.0,Red Bull,Austrian,2008,French Grand Prix,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,0.0
79,25,3.0,Renault,French,2008,French Grand Prix,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,0.0
80,25,0.0,Toro Rosso,Italian,2008,French Grand Prix,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,0.0
81,25,0.0,Honda,Japanese,2008,French Grand Prix,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,0.0
82,25,0.0,Williams,British,2008,French Grand Prix,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,0.0
83,25,0.0,Force India,Indian,2008,French Grand Prix,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,0.0
84,26,14.0,McLaren,British,2008,British Grand Prix,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,3.0
85,26,8.0,BMW Sauber,German,2008,British Grand Prix,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,1.0
86,26,6.0,Honda,Japanese,2008,British Grand Prix,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,0.0
87,26,5.0,Ferrari,Italian,2008,British Grand Prix,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,5.0
88,26,3.0,Renault,French,2008,British Grand Prix,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,0.0
89,26,2.0,Toyota,Japanese,2008,British Grand Prix,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,0.0
90,26,1.0,Williams,British,2008,British Grand Prix,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,0.0
91,26,0.0,Red Bull,Austrian,2008,British Grand Prix,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,0.0
92,26,0.0,Toro Rosso,Italian,2008,British Grand Prix,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,0.0
93,26,0.0,Force India,Indian,2008,British Grand Prix,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,0.0
94,27,14.0,McLaren,British,2008,German Grand Prix,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,4.0
95,27,8.0,Renault,French,2008,German Grand Prix,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,0.0
96,27,9.0,Ferrari,Italian,2008,German Grand Prix,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,5.0
97,27,7.0,BMW Sauber,German,2008,German Grand Prix,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,1.0
98,27,1.0,Toro Rosso,Italian,2008,German Grand Prix,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,0.0
99,27,0.0,Toyota,Japanese,2008,German Grand Prix,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,0.0
100,27,0.0,Williams,British,2008,German Grand Prix,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,0.0
101,27,0.0,Red Bull,Austrian,2008,German Grand Prix,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,0.0
102,27,0.0,Force India,Indian,2008,German Grand Prix,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,0.0
103,27,0.0,Honda,Japanese,2008,German Grand Prix,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,0.0
104,28,14.0,McLaren,British,2008,Hungarian Grand Prix,Hungaroring,Budapest,Hungary,47.5789,19.2486,5.0
105,28,10.0,Toyota,Japanese,2008,Hungarian Grand Prix,Hungaroring,Budapest,Hungary,47.5789,19.2486,0.0
106,28,6.0,Ferrari,Italian,2008,Hungarian Grand Prix,Hungaroring,Budapest,Hungary,47.5789,19.2486,5.0
107,28,8.0,Renault,French,2008,Hungarian Grand Prix,Hungaroring,Budapest,Hungary,47.5789,19.2486,0.0
108,28,1.0,BMW Sauber,German,2008,Hungarian Grand Prix,Hungaroring,Budapest,Hungary,47.5789,19.2486,1.0
109,28,0.0,Red Bull,Austrian,2008,Hungarian Grand Prix,Hungaroring,Budapest,Hungary,47.5789,19.2486,0.0
110,28,0.0,Honda,Japanese,2008,Hungarian Grand Prix,Hungaroring,Budapest,Hungary,47.5789,19.2486,0.0
111,28,0.0,Williams,British,2008,Hungarian Grand Prix,Hungaroring,Budapest,Hungary,47.5789,19.2486,0.0
112,28,0.0,Force India,Indian,2008,Hungarian Grand Prix,Hungaroring,Budapest,Hungary,47.5789,19.2486,0.0
113,28,0.0,Toro Rosso,Italian,2008,Hungarian Grand Prix,Hungaroring,Budapest,Hungary,47.5789,19.2486,0.0
114,29,10.0,Ferrari,Italian,2008,European Grand Prix,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,6.0
115,29,13.0,McLaren,British,2008,European Grand Prix,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,5.0
116,29,6.0,BMW Sauber,German,2008,European Grand Prix,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,1.0
117,29,6.0,Toyota,Japanese,2008,European Grand Prix,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,0.0
118,29,3.0,Toro Rosso,Italian,2008,European Grand Prix,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,0.0
119,29,1.0,Williams,British,2008,European Grand Prix,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,0.0
120,29,0.0,Renault,French,2008,European Grand Prix,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,0.0
121,29,0.0,Red Bull,Austrian,2008,European Grand Prix,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,0.0
122,29,0.0,Honda,Japanese,2008,European Grand Prix,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,0.0
123,29,0.0,Force India,Indian,2008,European Grand Prix,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,0.0
124,30,10.0,Ferrari,Italian,2008,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,7.0
125,30,11.0,BMW Sauber,German,2008,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,1.0
126,30,6.0,McLaren,British,2008,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,5.0
127,30,5.0,Renault,French,2008,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,0.0
128,30,6.0,Toro Rosso,Italian,2008,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,0.0
129,30,1.0,Red Bull,Austrian,2008,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,0.0
